Event,Class,Time Slot 1,Time Slot 2,Maximum Participants
Story telling ,II,10:00-11:00,,2 per class
Poetry recitation ,II,10:00-11:00,,2 per class
Solo song ,II,10:00-11:00,,2 per class
Relay - Primary,II,10:00-11:00,,4 per team | 2 boys and 2 girls | 1 team per category
Group Song,II,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Thirukkural ,II,11:00-12:00,,2 per class
Spell Bee ,II,11:00-12:00,,2 per class
Wealth out of waste,II,11:00-12:00,,2 per class
Solo dance ,II,11:00-12:00,,2 per class
Lemon race ,II,11:00-12:00,,2 per class
Paint without Paint brush,II,1:00-2:00,,2 per class
Science expo ,II,1:00-2:00,,4 per team | 1 team per category
Origami,II,1:00-2:00,,2 per class
Fashion show ,II,1:00-2:00,,2 per class
Group dance,II,1:00-2:00,,8 per team | 1 team per category
Story telling ,III,10:00-11:00,,2 per class
Poetry recitation ,III,10:00-11:00,,2 per class
Solo song ,III,10:00-11:00,,2 per class
Relay - Primary,III,10:00-11:00,,4 per team | 2 boys and 2 girls | 1 team per category
Group Song,III,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Thirukkural ,III,11:00-12:00,,2 per class
Spell Bee ,III,11:00-12:00,,2 per class
Wealth out of waste,III,11:00-12:00,,2 per class
Solo dance ,III,11:00-12:00,,2 per class
Lemon race ,III,11:00-12:00,,2 per class
Paint without Paint brush,III,1:00-2:00,,2 per class
Science expo ,III,1:00-2:00,,4 per team | 1 team per category
Origami,III,1:00-2:00,,2 per class
Fashion show ,III,1:00-2:00,,2 per class
Group dance,III,1:00-2:00,,8 per team | 1 team per category
Story telling ,IV,10:00-11:00,,2 per class
Poetry recitation ,IV,10:00-11:00,,2 per class
Solo song ,IV,10:00-11:00,,2 per class
Relay - Primary,IV,10:00-11:00,,4 per team | 2 boys and 2 girls | 1 team per category
Kho-Kho,IV,10:00-11:00,11:00-12:00,9 per team | 1 team per category
Group Song,IV,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Thirukkural ,IV,11:00-12:00,,2 per class
Spell Bee ,IV,11:00-12:00,,2 per class
Wealth out of waste,IV,11:00-12:00,,2 per class
Solo dance ,IV,11:00-12:00,,2 per class
Lemon race ,IV,11:00-12:00,,2 per class
Pot painting,IV,1:00-2:00,,2 per class
Science expo ,IV,1:00-2:00,,4 per team | 1 team per category
Origami,IV,1:00-2:00,,2 per class
Carrom (4th&5th),IV,1:00-2:00,,2 per class
Fashion show ,IV,1:00-2:00,,2 per class
Group dance,IV,1:00-2:00,,8 per team | 1 team per category
Story telling ,V,10:00-11:00,,2 per class
Poetry recitation ,V,10:00-11:00,,2 per class
Solo song ,V,10:00-11:00,,2 per class
Relay - Primary,V,10:00-11:00,,4 per team | 2 boys and 2 girls | 1 team per category
Kho-Kho,V,10:00-11:00,11:00-12:00,9 per team | 1 team per category
Group Song,V,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Thirukkural ,V,11:00-12:00,,2 per class
Spell Bee ,V,11:00-12:00,,2 per class
Wealth out of waste,V,11:00-12:00,,2 per class
Solo dance ,V,11:00-12:00,,2 per class
Lemon race ,V,11:00-12:00,,2 per class
Pot painting,V,1:00-2:00,,2 per class
Science expo ,V,1:00-2:00,,4 per team | 1 team per category
Origami,V,1:00-2:00,,2 per class
Carrom (4th&5th),V,1:00-2:00,,2 per class
Fashion show ,V,1:00-2:00,,2 per class
Group dance,V,1:00-2:00,,8 per team | 1 team per category
Math Tower building ,VI,10:00-11:00,,2 per class
Storytelling,VI,10:00-11:00,,2 per class
Solo song,VI,10:00-11:00,,2 per class
Relay,VI,10:00-11:00,11:00-12:00,4 per team | 2 boys and 2 girls | 1 team per category
Kabaddi,VI,10:00-11:00,11:00-12:00,9 per team | 1 team per category
Group song,VI,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Throwball,VI,10:00-11:00,11:00-12:00,7 per team | 1 team per category
100 meters,VI,10:00-11:00,11:00-12:00,2 per class
SST/ Science Expo,VI,11:00-12:00,,4 per class | 1 team per category
Thirukkural,VI,11:00-12:00,,2 per class
Solo dance ,VI,11:00-12:00,,2 per class
Kho-kho,VI,1:00-2:30,,9 per team | 1 team per category
Carrom,VI,1:00-2:30,,2 per class
Comic Strip,VI,1:00-2:30,,2 per class
Theatre ,VI,1:00-2:30,,8 per team | 1 team per category
Group dance,VI,1:00-2:30,,8 per team | 1 team per category
Math Tower building ,VII,10:00-11:00,,2 per class
Storytelling,VII,10:00-11:00,,2 per class
Solo song,VII,10:00-11:00,,2 per class
Relay,VII,10:00-11:00,11:00-12:00,4 per team | 2 boys and 2 girls | 1 team per category
Kabaddi,VII,10:00-11:00,11:00-12:00,9 per team | 1 team per category
Group song,VII,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Throwball,VII,10:00-11:00,11:00-12:00,7 per team | 1 team per category
100 meters,VII,10:00-11:00,11:00-12:00,2 per class
SST/ Science Expo,VII,11:00-12:00,,4 per class | 1 team per category
Thirukkural,VII,11:00-12:00,,2 per class
Solo dance ,VII,11:00-12:00,,2 per class
Kho-kho,VII,1:00-2:30,,9 per team | 1 team per category
Carrom,VII,1:00-2:30,,2 per class
Comic Strip,VII,1:00-2:30,,2 per class
Theatre ,VII,1:00-2:30,,8 per team | 1 team per category
Group dance,VII,1:00-2:30,,8 per team | 1 team per category
Math Tower building ,VIII,10:00-11:00,,2 per class
Storytelling,VIII,10:00-11:00,,2 per class
Solo song,VIII,10:00-11:00,,2 per class
Relay,VIII,10:00-11:00,11:00-12:00,4 per team | 2 boys and 2 girls | 1 team per category
Kabaddi,VIII,10:00-11:00,11:00-12:00,9 per team | 1 team per category
Group song,VIII,10:00-11:00,11:00-12:00,8 per team | 1 team per category
Throwball,VIII,10:00-11:00,11:00-12:00,7 per team | 1 team per category
100 meters,VIII,10:00-11:00,11:00-12:00,2 per class
SST/ Science Expo,VIII,11:00-12:00,,4 per class | 1 team per category
Thirukkural,VIII,11:00-12:00,,2 per class
Solo dance ,VIII,11:00-12:00,,2 per class
Kho-kho,VIII,1:00-2:30,,9 per team | 1 team per category
Carrom,VIII,1:00-2:30,,2 per class
Comic Strip,VIII,1:00-2:30,,2 per class
Theatre ,VIII,1:00-2:30,,8 per team | 1 team per category

Group dance,VIII,1:00-2:30,,8 per team | 1 team per category
